ID_NUTS3,Name_NUTS3,PDI_DEMO,IND_DEMO,MAS_DEMO,UAI_DEMO,LTO_DEMO,IVR_DEMO,IR_total_DEMO,IR_DEMO,R_DEMO,SD_DEMO,AWF_DEMO,DEM_DEMO,LFT_DEMO,ACH_DEMO,APP_DEMO,COMF_DEMO,PDA_DEMO,PDA_FUNC_DEMO,PDA_DISFUNC_DEMO,PDA_POZITIV_DEMO,Satisfaction_DEMO,Negative_experience_DEMO,Trsust_Family_DEMO,Trust_First_DEMO,Trust_Religion_DEMO,Trust_Nationality_DEMO,Democracy_1_DEMO,Democracy_2_DEMO,Democracy_3_DEMO,PDI_FD,IND_FD,MAS_FD,UAI_FD,LTO_FD,IVR_FD,IR_total_FD,IR_FD,R_FD,SD_FD,AWF_FD,DEM_FD,LFT_FD,ACH_72_FD,APP_72_FD,COMF_72_FD,PDA_TOTAL_FD,PDA_FUNC_FD,PDA_DISFUNC_FD,PDA_POZITIV_FD,Satisfaction_FD,Negative_experience_FD,Trust_Family_FD,Trust_First_FD,Trust_Religion_FD,Trust_Nationality_FD,Democracy_1_FD,Democracy_2_FD,Democracy_3_FD,venit_propriu,chelt_tot,chelt_asistenta_sociala,proc_neet,supr_agricol,rata_mort_infantila,personal_sanitar,medici,pod_pop_varstnice,pod_pop_tinere,cabinete_medicale,paturi_spitale,pop_ocupata_civila,rata_mortalitatii,rata_natalitatii,spor_migratoriu,spor_natural,chelt_sanatate,pon_studii_sup>10ani,pon_pop_analfabeta,pop_25_st_superioare,chelt_inv,pon_pop_fara_studii,pop_25_sup_post_ter,unit_scolare,rata_part_forta_munca_fem,media_ani_sc_pop_fem_25_ani,pondere_someri_fem,lung_cond_canalizare,acces_apa,acces_apa_calda,acces_inc_centrala,acces_electricitate,banci,proc_salariati,pondere_someri,proc_structura_turistica,grad_utilizare_cazare,lungime_gaz,lungime_apa_potabila,densitate_drumuri,acces_dj,acces_dn,cadre_didactice,chelt_transport,densitate_cai_ferate,lhdi,loc_noi_terminate,densitate_pop,rata_crestere_pop,proc_loc_baie,proc_loc_closet,supr_locuibila,densitatea_locativa,pers_gospodarie,aut_construire,chelt_locuinte_sociale,chelt_cultura,acces_canalizare,supr_paduri,schimbare_supr_construita,schimbare_paduri,utilizare_internet,bibiloteci,muzee_ind,sume_ue,finantare_mdrap
1,ALBA,94,61,37,140,40,-3,120.886,81.45,104.564,24.597,32.546,35.194,31.045,42.644,36.53,41.712,15.39,8.127,7.263,10.34,7.9,7.445,3.609,2.001,2.376,2.203,3.52,3.4,2.46,111,45,39,139,39,-13,119.67,79.4,103.73,23.53,32.13,35.37,31.3,41.43,35.17,43.07,15.3667,8.3,7.0667,10.1333,7.7,6.86,3.6333,1.8276,2.2222,2.069,3.6071,3.4074,2.5238,1140.516915,2601.368659,299.9858252,23.5043389484,40.1229071183,4.7522063815,8.548501498,1.7467526281,17.9615209655,13.6919001365,0.5186984128,5.5367489441,41.2964109634,11.6889869898,7.8156504022,-3.8733365876,-1.8491202751,63.87723115,12.8656202702,1.0351611241,14.1194118474,180.9504001,2.727029,17.7711455224,0.3528450453,43.59648045,10.1474991015,2.1,0.1361179867,0.796258,0.60034,67.9,99.084135,0.1111569854,24.15044304,2.2,1.0798107155,0.4626957473,0.2277435569,0.3050771385,0.4846152425,992.6,410.665,2.1214442208,390.4018746,0.0368102727,76,13.2329744551,60.21208879,-0.005500803,63.5427,60.7107,19.6286642106,2.7688,2.71,4.5256772636,299.9858252,310.9479859,0.725851,38.8356854912,9.3930062511,-0.6632260279,34.0788860819,0.5319655731,0.1508559088,86.87192521,81.5824689929
2,ARAD,74,33,37,81,43,23,117.087,72.939,99.852,23.299,31.141,34.587,30.194,41.578,35.137,40.372,13.353,7.141,6.212,10.71,7.625,6.665,3.652,2.204,2.378,2.475,3.03,3.54,2.23,88,25,39,80,49,26,114.54,72.0571,101.51,21.97,30.1,34.23,30.64,40.63,33.57,40.34,12.8857,7.0429,5.8429,10.6286,7.64,6.05,3.7101,2.0857,2.2319,2.3284,3.0923,3.5758,2.2742,1371.396475,2441.273952,289.9159856,21.0134070168,60.8366663581,4.4742729306,9.2338899217,2.4011078127,17.3042355449,14.2397355417,0.6044679727,4.9224429054,40.8906506529,12.4248225101,8.5284185221,-3.896403988,1.2592295804,29.90005872,13.6973808626,1.0127262487,14.2119655185,186.2086675,2.280591,17.9697367292,0.3201071829,45.08679044,9.9661622788,0.9,0.1661247742,0.835308,0.648145,70.5,99.36811,0.2413812087,27.5985534067,0.9,0.7072045939,0.4872206132,0.1678556443,0.390711622,0.3240860419,1160.41,417.699,2.0840585863,447.9994255,0.0598054354,74,10.883328181,60.80899411,-0.00332117,66.4863,63.8464,21.8530369567,2.778234,2.72,6.1912162649,289.9159856,297.2144167,0.772743,31.9977312965,6.2183705648,0.0378841733,37.6026668174,0.4234758047,0.0254085483,44.1649082,99.7302728073
3,ARGES,100,31,38,81,52,13,97.022,61.376,108.355,18.205,24.756,31.588,25.115,33.319,29.261,34.441,12.601,6.389,6.212,10.67,7.323,6.716,3.643,2.158,2.129,2.077,3.25,3.75,1.66,112,20,39,81,57,16,96.08,61.375,109.3,17.32,24.15,31.67,25.81,32.74,28.39,34.95,11.9659,6.2159,5.75,10.5909,7.32,5.96,3.7011,2.0682,1.9885,1.9318,3.3563,3.7841,1.7176,1246.914385,2512.317515,246.7080939,19.3581579021,42.750799248,7.6435495899,9.1321490387,2.2228956692,18.1048338617,13.4914985035,0.548428258,5.3333918273,46.3353422671,12.0753380766,8.4043224916,-3.671015585,-2.6948983381,250.2676238,14.0196257079,0.7880593137,14.9935305788,173.4798282,2.770077,19.6075217804,0.32276108,43.9387827,10.3799146036,1.8,0.1253937717,0.809432,0.579919,59.8,99.212308,0.1249695387,24.0511687776,1.9,0.8935322015,0.4573710505,0.1814925288,0.5931864393,0.5184662965,1158.81,547.961,1.9812251487,351.7261278,0.033283894,76,27.3058442005,93.44087029,-0.005802654,60.4076,56.4091,20.8142327808,2.726581,2.67,6.5484038266,246.7080939,237.8206467,0.677448,42.7298281749,6.9898612492,-0.6953127888,36.7717844745,0.5748598779,0.0453014578,15.19151483,97.5893777279
4,BACAU,84,39,34,92,38,23,118.773,68.062,93.289,25.547,30.225,34.006,30.952,42.886,36.151,39.736,14.976,7.687,7.289,10.33,7.305,6.949,3.688,2.104,2.189,2.165,3.13,3.3,1.86,95,27,35,96,43,23,117.74,68.0385,94.3,24.63,29.62,34.04,31.62,42.29,35.19,40.25,14.7,7.7154,6.9846,10.1692,7.22,6.38,3.7308,2.0154,2.0547,2.0155,3.2302,3.328,1.9426,732.5570865,1740.099823,124.8494998,22.8921418997,45.4333719363,8.4077771939,7.3851871944,1.503892665,15.2559077802,15.2052047845,0.4002754758,4.4272661497,43.6789966373,12.2220518738,7.6777832469,-4.5442686269,-0.8997087042,36.34725125,10.1795109589,1.6171595949,11.8336540967,128.1477096,4.395098,15.3751560007,0.2407292348,44.30723757,9.622928562,1.9,0.1504506966,0.667602,0.484458,54.1,97.625237,0.0416256005,14.6483173858,2.3,0.405513915,0.4555876494,0.1527753085,0.3146075467,0.3707303208,947.58,440.336,1.9598988082,252.6443582,0.0333596909,68,12.648811522,111.9634662,-0.004564991,51.2971,50.4514,17.038894424,2.688588,2.59,3.5502608985,124.8494998,130.0746395,0.574795,42.0895667298,1.5801588467,-0.6126564681,30.3825705019,0.479365787,0.034911794,32.78516193,108.8170372071
5,BIHOR,64,45,37,100,50,29,113.153,71.651,102.498,21.443,30.112,33.89,30.218,40.472,33.491,39.19,13.382,6.816,6.566,11.41,7.557,6.978,3.664,1.89,2.337,2.525,3.42,3.54,1.94,74,46,37,91,54,40,104.78,67.1,106.33,18.43,27.6,32.4,29.3,38.25,29.28,37.25,12.35,6.4,5.95,11.5,7.85,6.29,3.75,1.775,2.2778,2.4595,3.3333,3.6154,1.8611,1212.990334,2498.67988,238.560891,21.629814068,59.121042406,7.1893187265,12.1561028004,3.4422071536,16.4028727948,15.3374203264,0.5913028264,6.6965875899,41.8008057032,12.1772328975,9.458768061,-2.7184648364,0.4986820546,40.38712947,14.0792182675,1.7761331378,15.2313685895,166.4670757,4.856594,19.1448220681,0.3189622232,45.90520851,10.1800464833,1.1,0.1854042979,0.844466,0.643243,69.9,99.228378,0.0873492417,26.3374139448,1.0,0.8637869455,0.8591851419,0.0998820863,0.4035894559,0.3985462466,961.01,528.241,2.2347035003,563.4939964,0.0663580164,71,21.6108494228,81.93457545,-0.001819673,67.203,62.7839,19.2075207697,2.82997,2.75,4.8947926911,238.560891,242.3681828,0.753803,31.661910326,5.0749311423,-0.3189130452,39.6169492653,0.4529219939,0.0226460997,235.9674739,94.0534511632
6,BISTRITA-NASAUD,61,36,38,94,60,19,119.565,77.23,101.666,24.214,31.908,36.217,29.847,41.004,35.715,42.846,13.234,6.744,6.49,10.91,7.728,6.477,3.821,2.284,2.284,2.169,2.83,3.28,1.93,73,37,39,85,69,24,110.7,72.25,105.55,21.1,29.2,34.75,28.65,38.65,31.4,40.65,12.45,6.45,6.0,10.9,7.9,5.9,3.9,2.2,2.2,2.15,2.75,3.4,1.75,1022.558248,2969.674066,277.9109817,20.984968906,47.6514689981,6.7360685854,8.0218130088,1.4134683778,15.0698718457,16.4093617904,0.4199967131,4.4711428789,46.7453926107,10.2957949966,9.933845335,-0.3619496616,-1.9466200289,83.23038552,10.3719278757,1.5480134092,11.7501552266,199.7947472,2.497195,15.3153604262,0.3437000989,44.47957298,9.4340937769,1.7,0.1655680355,0.770924,0.592102,68.1,98.227394,0.0972709421,20.3469532917,1.6,0.571466785,0.4469741819,0.141774162,0.2672938426,0.2993362589,734.86,318.633,2.1394931599,751.9811239,0.0597179569,72,20.3661035084,61.16771602,-0.002273321,61.3804,58.6909,18.7442686137,3.005334,2.92,5.5869997386,277.9109817,241.7786541,0.700468,41.7475483587,1.8692320997,-0.2398180282,34.507086896,0.6049036714,0.0303971694,598.746249,233.6622555828
7,BOTOSANI,93,31,54,82,61,33,102.755,66.818,108.063,20.492,24.322,31.83,28.471,37.561,28.57,36.624,12.928,7.486,5.442,9.93,7.331,6.783,3.824,2.236,2.952,2.257,3.23,3.61,2.78,109,21,53,86,68,27,100.93,67.1333,110.2,19.37,23.45,31.57,29.22,36.72,27.22,37.0,12.7833,7.5667,5.2167,9.6833,7.12,6.31,3.85,2.0877,2.7627,2.0755,3.3393,3.6667,2.9038,577.2275604,1796.724979,145.9091559,20.3559157084,79.4263071384,12.3855681206,8.0234613424,1.4078570782,15.8660908074,15.3655756034,0.3032533814,4.8348088584,46.6880419557,13.1804259751,8.1955637153,-4.9848622598,7.6836168166,42.38210878,7.0258830921,1.7307750599,8.0653172731,215.1101039,3.947174,11.4063771955,0.2890734644,43.74281156,8.896084275,1.1,0.0631034467,0.506494,0.330465,37.3,98.650203,0.0794402113,12.0228346474,1.3,0.0838535564,0.3931949096,0.056702811,0.2018507708,0.5176689748,677.48,418.992,2.1050177486,277.1824164,0.0323041492,60,13.7255031765,90.6615691,-0.003111914,36.4714,36.6534,16.728713885,2.774646,2.7,3.2173285581,145.9091559,134.4213566,0.393691,11.1551536689,1.0823778401,0.2056503248,26.4159654979,0.5450481165,0.0198600528,50.24218178,173.5151779944
8,BRAILA,52,29,57,95,32,16,125.079,79.251,98.172,26.087,33.068,36.241,31.189,45.945,37.533,41.601,15.025,7.756,7.269,10.99,8.284,6.824,3.678,1.94,2.155,2.157,3.19,3.74,2.2,63,21,57,95,33,19,123.36,79.303,99.94,24.94,32.36,36.21,31.67,45.24,36.27,41.85,14.4545,7.5758,6.8788,10.8788,8.3,6.33,3.7273,1.8485,2.0645,2.0625,3.2727,3.7813,2.2667,981.5459726,2183.350194,402.6403151,24.8853923279,84.8827582556,8.7427144047,10.3128823632,1.5015144091,19.1297637352,12.3088344034,0.4200548679,5.5492168862,42.2300536717,14.0343901624,6.9206744344,-7.113715728,-4.5062176584,49.57899999,10.8451600695,1.8306927457,11.8389833916,114.6545598,2.46277,15.7654723127,0.299646187,43.20753069,9.4843447139,1.6,0.1069704137,0.833047,0.49223,59.6,99.553168,0.1203503916,19.8082417094,2.0,0.2464317542,0.7330829415,0.0991335999,0.3060129133,0.2491436277,593.53,275.34,2.0132733408,295.8643957,0.0331073954,72,13.7829853201,72.59288843,-0.011828772,55.0193,57.2448,15.8785865133,2.672846,2.58,3.169226978,402.6403151,140.521174,0.622875,4.8957648237,5.8900949723,-2.0414320831,33.4046625767,0.429822827,0.0257893696,22.88168009,167.3001066702
9,BRASOV,114,58,41,86,50,14,92.849,58.181,109.333,17.263,21.341,29.087,27.76,36.322,23.905,32.621,13.344,7.29,6.054,10.15,7.009,6.289,3.687,1.849,2.011,2.221,2.349,3.584,1.409,127,49,40,85,54,15,89.8,57.3,111.5,15.79,20.17,28.67,28.09,35.24,22.09,32.47,12.7714,7.1286,5.6429,10.0714,7.01,5.64,3.7391,1.7246,1.8537,2.0667,2.4231,3.6522,1.4603,1545.191935,2332.133097,247.1676494,20.8779059344,47.8077595965,7.1168487256,9.3426412905,2.7163973918,16.7181818182,15.6789968652,0.5235182312,5.7343765007,39.2349472067,10.2280367239,9.5132078027,-0.7148289213,2.2877674507,80.86333227,18.2807457066,0.7150638763,20.3578805172,181.1148025,2.535254,24.7697172,0.2897103998,45.01022687,11.1503959592,1.2,0.2239897666,0.940181,0.811426,85.5,99.212622,0.2617074678,28.179903389,1.3,3.0301310429,0.5393142069,0.3114927642,0.4019616489,0.3042366,817.83,478.988,1.8342982189,397.3309312,0.0658464254,87,63.1723990061,118.1430949,0.001387843,83.826,85.0309,20.6647984537,2.717631,2.61,3.5661583866,247.1676494,219.1478972,0.908762,41.7368765296,13.5249640002,-0.7190048265,42.5431267342,0.3326522633,0.0551792854,25.77279777,60.122159823
10,BUCURESTI,80,44,40,100,49,17,110.909,65.164,98.255,21.926,29.577,32.571,28.896,40.874,31.907,38.128,14.991,7.835,7.156,10.23,7.488,7.245,3.574,2.065,2.299,2.352,2.989,3.505,1.807,93,41,41,96,54,21,104.69,62.2692,101.58,19.54,27.57,31.55,28.44,39.12,28.66,36.9,14.3704,7.6356,6.7348,10.1842,7.59,6.69,3.6421,1.9494,2.1906,2.2737,2.972,3.5879,1.7539,3621.87257,4594.243488,364.786426,8.2421667552,13.9831480839,3.6112100097,19.892001465,6.2270448697,17.7998898527,13.8421640915,0.6480966437,10.347059585,47.4402219361,10.609266691,9.2553930164,-1.3538736745,9.8871379647,146.5520217,33.6605551943,0.1949216551,45.3710771613,420.2234193,0.008752,50.2230870954,0.2683268409,38.71932131,12.5173710073,1.1,14.9378200481,0.996544,0.962743,96.6,99.850688,0.4764919593,45.0419284533,1.1,0.1712910519,0.8700275498,8.6973680874,10.3225799084,0.3778607216,0.0,81.19,1.7383639931,641.3786002,0.4066109939,102,26.9191932097,8649.473575,0.007645457,97.1967,98.3979,19.3170512198,2.502465,2.4,0.8025127735,364.786426,802.3794504,0.991227,2.6440062762,3.7615672869,4.66018e-05,61.807274582,0.1670324346,0.0189271881,127.0719045,0.0
11,BUZAU,67,28,33,96,34,-9,122.797,73.54,94.743,24.745,31.623,35.997,32.387,46.381,34.561,41.855,16.365,8.423,7.942,9.92,7.316,7.41,3.64,2.073,2.185,2.038,3.17,3.287,2.525,78,22,33,92,39,-4,116.95,70.975,98.03,22.35,29.68,35.28,31.95,44.68,31.4,40.88,15.4,8.075,7.325,9.925,7.45,6.71,3.725,2.0,2.1,1.975,3.1795,3.375,2.4595,785.495375,2266.590302,144.3972954,27.510460251,63.473129186,7.318501171,8.8883415365,1.3716838587,19.3300349862,13.8127143257,0.4610162514,5.485147416,42.7165245229,14.7416004678,7.2907640362,-7.4508364316,-3.1737020263,48.87568778,9.0271319646,1.6815947152,9.6848110737,176.7585788,3.69222,13.4902263374,0.3073389992,42.47171219,9.0986543678,3.3,0.0795055186,0.685233,0.384971,47.1,98.493682,0.1634979212,17.1919125859,4.0,0.4628902186,0.3136775103,0.0983409498,0.4131008391,0.4430998286,898.99,317.992,2.0430687651,549.9401351,0.0399986527,66,11.1263520429,76.78245474,-0.010166667,41.6786,41.2022,20.1160962642,2.738315,2.67,2.6329535369,144.3972954,173.9030772,0.488574,27.8862790769,3.7617833362,-0.1681643691,26.4957144963,0.4989871622,0.0148634474,63.23871063,138.9755002505
12,CALARASI,27,13,25,64,45,-9,117.127,67.311,94.184,23.111,30.24,33.075,32.746,41.929,36.727,38.471,14.041,7.652,6.389,10.8,7.861,6.839,3.689,2.186,2.355,2.341,3.47,3.675,1.905,38,7,28,58,48,-3,113.75,65.4167,95.67,21.58,29.0,32.67,32.83,40.92,34.83,38.0,13.5,7.5,6.0,10.75,8.0,6.25,3.75,2.0833,2.25,2.25,3.5,3.7273,1.9091,823.4433351,2320.877573,202.6281239,29.9154945085,86.7965501307,11.1667308433,6.5210094778,1.0292965941,17.4489928949,15.3200573626,0.3998658515,3.7463042564,41.9872118843,14.3335462766,8.3368913058,-5.9966549708,-3.8297694755,37.64429692,6.8583566698,3.5997001169,7.8687026184,156.1391173,3.791898,10.4163306271,0.301758869,46.09944162,8.4188934889,1.7,0.0696774925,0.80912,0.369727,44.4,98.195935,0.1022903448,13.7433471319,1.7,0.1854012499,0.3923699463,0.0621867688,0.2758984909,0.2646329143,639.24,401.899,1.9266187396,273.8068615,0.036962101,59,11.2199721898,61.19883978,-0.010074781,42.0557,41.7423,16.55105407,2.868952,2.8,2.934454265,202.6281239,167.6136267,0.46975,4.0105017046,3.3087770132,-2.2182431328,24.9168618956,0.4762894177,0.0159828664,59.19882699,214.8175049426
